CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
TECHNICAL-ASCENT-MAX.P2;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_AscentMaxThresholdForPressureMonitoringPeriodProcessing_seconds;Parameter used to compute pressure monitoring period with expected mean speed on ascent.
TECHNICAL-ASCENT-MAX.P3;Volume of PUMP activation (cm3);Volume of PUMP activation (cm3);CONFIG_AUX_AscentMaxThresholdForMaxVolumeOfValveActionProcessing_cm^3;Parameter used to compute max volume of valve action with expected mean speed on ascent.
TECHNICAL-EMERGENCE.P0;Volume of pumping increasing buoyancy;Volume of pumping increasing buoyancy;CONFIG_OilVolumeLastPumpActionBuoyancyAcquisition_cm^3;Volume of the last pump action of the buoyancy acquisition phase. Original proposed name was: CONFIG_PumpActionOilVolumeBuoyancyAcquisition_cm^3
TECHNICAL-IN_AIR.P0;Volume of pumping increasing buoyancy to make acquisition in air;Volume of pumping increasing buoyancy to make acquisition in air;CONFIG_PumpActionTimeBuoyancyAcquisitionForInAirMeasCycle_cm^3;"Duration of the last pump action of the buoyancy acquisition phase when a ""in air measurement"" phase is programmed (in centi-seconds). [For a cycle without ""in air measurement phase"" it is CONFIG_PumpActionTimeBuoyancyAcquisition_csec]."
TECHNICAL-TREATMENT.P0;Timeout of sensors data treatment before transmission (s);Timeout of sensors data treatment before transmission (s);CONFIG_AUX_TimeoutSensorDataProcessing_seconds;Maximum amount of time allowed for sensor data processing to complete its task.
TECHNICAL-TRANSMISSION.P0;GPS: Time-out of session (s);GPS: Time-out of session (s);CONFIG_GPSTimeout_seconds;Timeout for GPS acquisition.
TECHNICAL-TRANSMISSION.P1;GPS: Volume of pumping in case of acquisition failure (cm3);GPS: Volume of pumping in case of acquisition failure (cm3);CONFIG_AUX_OilVolumePumpActionWhenGpsFailed_cm^3;Volume of the additional pump action performed when the GNSS failed to acquire a valid GPS fix.
TECHNICAL-TRANSMISSION.P2;IRIDIUM: Time-out of 1st connection (s);IRIDIUM: Time-out of 1st connection (s);CONFIG_ConnectionFailureTimeOut_seconds;Is the maximum time allowed for the float to connect to the RUDICS server, i.e. it tries to connect during 30 minutes (values set for these floats) if it fails it is probably because it is under ice (that has not been detected by ISA or hanging algorithms).
TECHNICAL-TRANSMISSION.P3;IRIDIUM: Time-out of session (s);IRIDIUM: Time-out of session (s);CONFIG_ConnectionTimeOut_seconds;Connection time-out, i.e. maximum transmission period for one telemetry session
TECHNICAL-TRANSMISSION.P4;Enable/disable GZ compression on all files sent;Enable/disable GZ compression on all files sent;CONFIG_AUX_EnableGzCompressionOnTransmittedFiles_LOGICAL;Enable/disable GZ compression on all files sent.
TECHNICAL-TRANSMISSION.P5;Number of sending tries before quarantining a file;Number of sending tries before quarantining a file;CONFIG_AUX_FileTransmissionGiveUp_NUMBER;Threshold used to give up in transmitting a file.
TECHNICAL-TRANSMISSION-RUDICS.P0;Maximum size of transmit files (KB);Maximum size of transmit files (KB);CONFIG_AUX_TransmittedFileMaxSize_kbyte;Max size for transmitted files (in kbyte). Larger files are split before transmission.
TECHNICAL-TRANSMISSION-RUDICS.P1;Reset RUDICS connection before retrieving remote control commands;Reset RUDICS connection before retrieving remote control commands;CONFIG_AUX_ResetRudicsBeforeRetrievingRemoteControlCommands_LOGICAL;Reset RUDICS connection before retrieving remote control commands.
TECHNICAL-TRANSMISSION-SBD.P0;Resend setting file one remote control commands receiving;Resend setting file one remote control commands receiving;CONFIG_AUX_SendSettingFileOnRemoteControlCommandsReception_LOGICAL;Send the updated setting file when new remote control commands have been received.
TECHNICAL-EMERGENCY_ASCENT.P0;Min speed (cm/s);Min speed (cm/s);CONFIG_AUX_EmergencyAscentSpeedMin_cm/s;Float minimum ascent speed before activating the pump during an emergency ascent.
TECHNICAL-EMERGENCY_ASCENT.P1;Volume of PUMP activation (cm3);Volume of PUMP activation (cm3);CONFIG_AUX_EmergencyAscentOilVolumePerPumpAction_cm^3;Oil volume of each pump action during an emergency ascent.
TECHNICAL-END_OF_LIFE-SCHEDULER.P0;Enable/disable the automatic “end of life at bottom”;Enable/disable the automatic “end of life at bottom”;CONFIG_AUX_EolAtDepth_LOGICAL;"Enable/disable automatic ""End Of Life at depth""."
TECHNICAL-END_OF_LIFE-SCHEDULER.P1;Minimum number of cycles realized;Minimum number of cycles realized;CONFIG_AUX_EolAtDepthMinimumNumberOfCycles_NUMBER;"Minimum number of cycles completed to activate automatic ""End Of Life at depth""."
TECHNICAL-END_OF_LIFE-SCHEDULER.P2;Minimum number of days at sea;Minimum number of days at sea;CONFIG_AUX_EolAtDepthMinimumNumberOfDaysAtSea_NUMBER;"Minimum number of days at sea to activate automatic ""End Of Life at depth""."
TECHNICAL-END_OF_LIFE-SCHEDULER.P3;Number of detections confirming the “end of life”;Number of detections confirming the “end of life”;CONFIG_AUX_EolAtDepthMinimumNumberOfBatteryDepletion_NUMBER;"Minimum number of check battery depletion confirmations to activate automatic ""End Of Life at depth""."
TECHNICAL-LOGGER.P0;Event logger level (0: project information, 1: technical information, 2: endurance information);Event logger level (0: project information, 1: technical information, 2: endurance information);CONFIG_AUX_EventLoggerDescriptionLevel_NUMBER;Level of events stored in the associated log file (0: project information, 1: technical information, 2: endurance information).
TECHNICAL-LOGGER.P1;Pressure information (bit 0: on descent, bit 1: on drift, bit 2: on ascent);Pressure information (bit 0: on descent, bit 1: on drift, bit 2: on ascent);CONFIG_AUX_ReportedSpyData_hex;Used to choose which spy measurements (pressure vs time) are reported in the technical file (bit 0: on descent, bit 1: on drift, bit 2: on ascent).
TECHNICAL-LOGGER.P2;Reporting of sensors treatment (0: treated data only, 1: all data);Reporting of sensors treatment (0: treated data only, 1: all data);CONFIG_AUX_ReportDetailedDataProcessing_LOGICAL;Enable/disable report of detailed data processing information in the technical file.
TECHNICAL-LOGGER.P3;Reporting of ISA measures;Reporting of ISA measures;CONFIG_AUX_ReportIsaSamples_LOGICAL;Enable/disable report of all samples acquired for the ISA detection (with a maximum of 50 samples) in the technical file.
TECHNICAL-SECURITY.P0;Surface pressure (dbar);Surface pressure (dbar);CONFIG_AUX_FloatAtSurfacePressureThreshold_dbar;Defines the pressure threshold used to decide if the float is at the surface.
TECHNICAL-SECURITY.P1;Min delay between pressure to compute speed (s);Min delay between pressure to compute speed (s);CONFIG_AUX_SpeedComputationMinDelay_seconds;Threshold used to compute a speed between two pressures.
TECHNICAL-SECURITY.P2;Volume of PUMP activation on descent braking (cm3);Volume of PUMP activation on descent braking (cm3);CONFIG_AUX_OilVolumePumpActionDescentBraking_cm^3;Volume of the pump actions performed when the descent speed overshot its max value (CONFIG_HighDescentSpeedAlarmThreshold_cm/s).
TECHNICAL-SECURITY.P3;Volume of PUMP activation on emergency braking (cm3);Volume of PUMP activation on emergency braking (cm3);CONFIG_AUX_OilVolumePumpActionDescentEmergencyBraking_cm^3;Volume of the pump action performed when the pressure overshot its max value (CONFIG_PressureMaxBeforeEmergencyAscent_dbar).
